திருக்குற்றாலக் குறவஞ்சி சொல்லடைவு

அஞ்சுதலை - 2.3 
அடி - 6.4; 7.1 
அடிகள் - 6.4 
அத்தியிலே - 5.3 
அது - 8.3 
அந்நாள் - 5.3 
அருவி - 1.3 
அருள் - 4.4 
அலையிலே - 5.3 
அவிழும் - 4.3 
அழைத்த - 5.1 
அழைப்பித்தானும் - 5.3 
ஆசை - 4.2 
ஆடிப் - 2.2 
ஆத்துமம் - 6.3 
ஆம்பல் - 4.3 
ஆம்பலும் - 7.1 
ஆற்றில் - 5.4 
ஆறு - 2.3; 5.1 
இ - 6.3 
இணை - 7.1 
இதழி - 1.1 
இயம்புவோமே - 7.4 
இரங்கி - 8.1 
இரு - 2.4 
இருக்க - 5.1 
இறக்கும் - 6.3 
ஈசர் - 1.1; 9.3 
ஈன்ற - 3.1,2 
ஈன்று - 4.3,3 
உண்டாமே - 8.4 
உருகவே - 6.2 
உரைத்த - 6.2 
எட்டும் - 2.2 
எடுத்தானும் - 5.4 
எல்லாம் - 6.2 
எலாம் - 3.1,2,2,3,3 
எழுந்த - 3.4 
எழுந்து - 4.1 
என்றே - 9.2 
என - 1.3 
எனக்கு - 2.3 
எனது - 9.4 
ஏந்தி - 2.3 
ஏழு - 5.1 
ஏழும் - 2.2 
ஏறாவண்ணம் - 6.3 
ஏறி - 4.2 
ஏறினானும் - 5.3 
ஐந்துகைவலான் - 1.4 
ஒரு - 3.4; 4.3 
ஒருவன் - 2.4 
ஒழித்து - 2.3 
கடப்பம் - 4.3 
கடல் - 2.2; 5.1 
கண் - 7.2 
கலையிலே - 5.4 
கள் - 8.2 
களவு - 8.2 
களை - 3.2 
கறுப்பினாளைப் - 7.2 
கன - 5.4 
கனி - 3.2 
கனிகள் - 3.2 
கா - 1.4 
காப்பதாமே - 5.4 
காமம் - 8.2 
காவலனே - 1.4 
கிடைத்த - 5.4 
கிளைகள் - 3.1 
கிளைகளாய் - 3.1 
கிளைத்த - 3.1 
குடுமி - 4.1 
குருத்துரோகம் - 8.2 
குவலயம் - 4.4 
குழல்வாய்மொழியை - 4.4 
குழலும் - 7.2 
குளத்தில் - 5.4 
குற்றால - 2.4 
குற்றாலத்து - 1.1; 9.3 
குற்றாலம் - 8.3 
குறவஞ்சி - 1.2; 2.4; 5.2; 6.1; 8.4 
குறவஞ்சிக்கு - 7.4 
குறும் - 3.4 
கூறுவோமே - 4.4 
கேட்பவர்க்கும் - 8.4 
கை - 2.1; 7.3 
கொடிதனை - 7.4 
கொடிய - 8.2 
கொடியை - 4.4 
கொப்பு - 3.1 
கொலை - 8.2 
கொழுந்துவிட்டு - 4.2 
கோ - 1.2 
கோட்டு - 4.3 
கோதை - 4.4 
சதுர்வேதம் - 3.1 
சிலேட்டுமம் - 6.3 
சிலை - 8.1 
சிலையிலே - 5.2 
சிவக்கொழுந்தை - 3.4 
சிவப்பினாளை - 7.1 
சிவலிங்க - 3.3 
சிவலிங்கம் - 3.2,2,3 
சீரிய - 9.3 
சுளை - 3.3 
செம் - 7.3 
செல்வர் - 9.3 
செல்வருக்கும் - 8.1 
செவ் - 7.1 
செழித்த - 5.2 
சேர் - 4.1; 8.4 
சேர்ந்த - 6.4 
சொரூபமாக - 3.3 
சொல்லை - 9.4 
ஞாலத்தோர் - 9.2 
ஞானக் - 7.3 
தகை - 4.1 
தடம் - 5.2 
தடித்த - 5.2 
தந்தானே - 2.4 
தமிழ் - 2.4; 6.2; 9.3 
தமிழை - 1.2 
தரு - 1.4 
தரும் - 2.4 
தலைதனில் - 9.1 
தலையிலே - 5.1 
தவழ் - 4.1 
தவள - 4.1 
தள்ளார் - 9.4 
தள்ளுவாரோ - 9.2 
தன் - 2.4 
தனுவில் - 6.3 
தாங்க - 2.1 
தாங்கு - 5.1 
தாமரையும் - 4.3 
தாமே - 9.4 
தாரினை - 9.1 
தாள் - 2.4 
திக்கும் - 2.1 
திரிகூடலிங்கர் - 6.1 
திருக்குற்றாலர் - 5.1 
திருகுற்றால - 7.4 
திருமேனி - 6.2 
தீர்த்ததாலே - 8.2 
துணை - 6.4 
தேவருக்கும் - 8.1 
நரிக்கும் - 8.1 
நல் - 2.2 
நவவீரரும் - 2.2 
நறை - 4.3 
நாடகத்தை - 5.2; 6.1; 8.4 
நாடி - 2.2 
நாரினை - 9.2 
நால் - 2.3 
நாள் - 6.3 
நிகழ்த்த - 6.1 
நித்தர் - 6.1 
நிலவு_அணிவார் - 8.3 
நினைக்க - 8.3 
நினைத்த - 8.3,3 
நீலமும் - 7.2 
நெடிய - 7.2 
பஞ்சபாதகமும் - 8.2 
படர்ந்து - 4.2 
படிகம் - 7.3 
படிப்பவர்க்கும் - 8.4 
படிவமும் - 7.3 
படை - 2.1 
பதினொருவர் - 2.1 
பது - 2.1 
பருவமாகி - 4.2 
பல - 3.1; 8.4 
பலவின் - 3.4 
பலன் - 8.4 
பவளமலைதனில் - 4.2 
பன்னிரு - 2.1 
பனிவரையின் - 4.1 
பாட - 1.2; 5.2 
பாடி - 6.2 
பாதம் - 1.2 
பாயும் - 1.3 
பித்தன் - 6.4 
புகழ - 2.2 
புகழும் - 7.3 
புயத்தை - 5.2 
புயம் - 2.3 
புனைந்த - 1.1 
பூ - 1.1 
பூத்து - 4.4 
பூம் - 4.3; 7.2 
பூவை - 5.3 
பெரிய - 8.1 
பெரியவர் - 9.4 
பெறுவர் - 8.3 
பேணுவோமே - 6.4 
பேர்கள் - 8.3 
பேரினால் - 9.4 
பொருள் - 5.4 
பொல்லாது - 9.2 
பொன்னின் - 2.3 
போட்டு - 5.4 
போல் - 1.4; 7.3 
போற்றி - 1.2 
மதத்து - 1.3 
மதி - 4.1 
மலர் - 1.2 
மலரும் - 7.1 
மலி - 1.1,4 
மலை - 1.3; 5.3 
மலைகள் - 2.2 
மா - 1.3 
மாமிக்காக - 5.1 
மாலை - 1.1 
மாலைக்குள் - 9.3 
மிதக்க - 5.3 
முக்கண் - 4.1 
முடி - 2.3 
முடிக்கும்தோறும் - 9.1 
முத்தர் - 6.2 
முளைத்து - 3.4; 4.1 
முனியை - 6.2 
மூன்றாய்த் - 2.3 
மேனாள் - 8.1 
மேனிக் - 1.3 
மை - 7.2 
வந்து - 6.3 
வரம் - 8.3 
வளம் - 8.4 
வளர்ந்த - 1.3 
வாங்க - 2.1 
வாதவூரான் - 6.4 
வாய் - 7.1 
வாழ்த்தி - 5.2 
விட்டு - 6.3 
வித்து - 3.3 
விருப்பமாக - 9.1 
விளையும் - 3.4 
வெளுப்பாம் - 7.3 
வேடனுக்கும் - 8.1 
வேண்டி - 6.1 
வேண்டிப் - 8.3 
வேண்டுவோமே - 3.4 
வேத - 8.1 
வேல் - 2.1 
நூல்
அ - 99.1 
அஃது - 89.3 
அக்காள் - 69.3 
அக்கினிக்கட்டு - 339.3 
அகங்காரம் - 92.2 
அகப்பட்ட - 291.2; 324.3 
அகப்பட்டால் - 302.4 
அகலம் - 335.1 
அகலாத - 406.1 
அகலாவே - 73.4 
அகில் - 138.2 
அகிலம் - 144.1 
அங்கணர் - 114.1; 319.1 
அங்கம் - 52.1; 332.4 
அங்கு - 42.2 
அசுரர் - 7.1 
அசைத்து - 329.1 
அசைய - 8.4; 114.3 
அஞ்சனம் - 330.2 
அஞ்சாமல் - 358.2,2 
அஞ்சு - 84.1; 118.2; 159.1 
அஞ்சுதலைக்கு - 84.2 
அஞ்செழுத்தார் - 255.1 
அடக்கிக் - 115.13,30 
அடக்கியே - 283.1 
அடக்கும் - 142.2 
அடங்க - 115.25,26,28 
அடங்கக் - 115.27 
அடங்கத் - 297.2 
அடங்கலும் - 13.3; 320.3 
அடங்கலுமே - 76.4 
அடங்கா - 250.4; 252.4; 254.2 
அடங்காத - 345.4 
அடங்காது - 345.3,3,4 
அடங்கார் - 283.1 
அடங்கி - 37.1 
அடங்கும் - 37.1 
அடர்ந்து - 42.4 
அடல் - 9.2 
