கபிலர் அகவல் சொல்லடைவு

அகலுந்துயிலினால் - 2.10 
அடுபசியாற்குலைந் - 6.3 
அணைதலுமணைந்தபின் - 7.5 
அதிகமான்வளர்ந்தனன் - 10.11 
அதிகமானில்லிடை - 10.11 
அந்தணர்வளர்க்க - 11.1 
அந்நன்றும் - 3.8 
அந்நிலதந்தவி - 7.8 
அப்போதந்த - 4.3 
அருந்தவம்புரிந்தால் - 2.3 
அருந்தவமாமுனி - 9.3 
அருந்தியவுண்டியால் - 6.5 
அரும்பார்சோலை - 10.10 
அரும்பொருள் - 1.2 
அல்லதுலகில் - 1.5 
அல்லதையுணர்ந்து - 12.6 
அவ்விருசாதியில் - 7.1 
அவ்வின்றும் - 3.9 
அவ்வின்னும் - 3.10 
அவ்வொன்றும் - 3.7 
அறிவுசிறப்போ - 1.5 
அன்றவதரித்த - 9.5 
அன்றியலிமுதிதோ - 1.3 
ஆக்கையிளமையில் - 2.12 
ஆண்பான்மூவர் - 9.8 
ஆண்பெண்மாறி - 7.5 
ஆண்பெண்மாறிக் - 7.1 
ஆண்முதிதோ - 1.3 
ஆணும்பெண்ணும் - 12.6 
ஆதலால் - 3.6 
ஆதிவயற்றினில் - 9.5 
ஆர்பசிகழிந்தது - 6.5 
ஆவதுமறியீர் - 3.11; 4.1 
ஆற்றலுடையீர் - 2.3 
ஆன்றசிறப்பின் - 1.2 
இட்டிடைச்சோனகர் - 6.7 
இடிகரைவாழ்மரமொத்ததுவாழ்நாள் - 3.5 
இயம்பியகுலத்துள் - 7.4 
இயற்கையோ - 1.7 
இரப்பவர்க்கிட்டுப் - 12.3 
இருந்தவாறிணைமுலை - 9.4 
இருவகையாகநீர் - 7.4 
இல்லிடையிருத்திப் - 5.12 
இறந்தவராயுமை - 5.12 
இறப்புமொன்றே - 11.11 
இன்புறுநாளுஞ் - 3.2 
இன்றுங்கண்டீர் - 5.2 
இன்றுங்காணீர் - 5.1 
இன்றேசெய்யவும்வேண்டும் - 3.8 
இன்னேசெய்யவும்வேண்டும் - 3.9 
ஈமத்தீயை - 5.7 
உடல்கொடுபோகான் - 4.9 
உடலதுதன்னைக் - 5.3 
உடலினையன்றுங்கண்டீர் - 5.2 
உடலினையிழந்தோ - 4.11 
உண்டியையுண்குவ - 2.5 
உப்பைவளர்ந்தனள் - 9.11 
உமக்கவர்புத்திரர் - 6.2 
உயிர்கொடுபோவான் - 4.9 
உயிரிழந்தழுதுமென் - 4.12 
உயிரினையன்றுங்காணீர் - 5.1 
உயிரினையிழந்த - 5.3 
உயிரினையிழந்தோ - 4.11 
உறுவைவளர்ந்தனள் - 10.2 
ஊட்டினபோது - 6.2 
ஊணர்சிங்களர் - 6.6 
ஊர்தனிற்றங்கியே - 9.10 
ஊற்றுக்காடெனும் - 9.10 
எஞ்செயாநிற்குமோ - 2.2 
எத்தனைபேரெனில் - 9.7 
எந்நாளாயினும் - 12.3 
எந்நிலதெந்தவி - 7.7 
எப்போதாயினுங் - 4.2 
எரியெழமூட்டிப் - 5.7 
எல்லாப்பிறப்பும் - 1.7 
எவ்விடத்தேகுமோ - 2.2 
எழுபதும்போகநீ - 3.1 
என்னுடன்பிறந்தவர் - 9.7 
ஏதுக்கழுவீர் - 4.10 
ஏந்திழைமடவரல் - 9.4 
ஏழைமாந்தர்காள் - 4.10 
ஐம்பதிரவில் - 2.10 
ஐம்மூன்றுநீங்கும் - 2.12 
ஒட்டியர்மிலேச்சர் - 6.6 
ஒட்டியவிளமையால் - 2.11 
ஒருவகைச்சாதியா - 7.3 
ஒளவைவளர்ந்தனள் - 10.4 
ஒன்றேசெய்யவும்வேண்டும் - 3.6 
ஒன்றேயாதலால் - 12.1 
ஓரைந்துநீங்கும் - 2.11 
கண்டதார்புகலீர் - 6.4 
கண்டதுண்டோசொலும் - 7.2 
கண்டின்புறுவது - 2.6 
கண்ணோகருத்தோ - 2.6 
கதிரோன்சிலரை - 11.5 
கபிலனும்யானே - 9.6 
கருப்பொறையுயிர்ப்பதுங் - 7.6 
கல்விசிறப்போ - 1.5 
கலந்துகருப்பெறல் - 7.2 
கள்வனைப்போல - 5.4 
கள்விலைஞர்சேரியில் - 10.1 
களவுகொண்ட - 5.4 
களவுந்தவிர்ந்து - 12.4 
காண்கின்றிலீரோ - 7.6 
காயேனென்னுமோ - 11.5 
காலத்தாற்சாவரோ - 1.8 
காலுமார்த்து - 5.5 
காவிரிப்பூம்பட்டினத்திற் - 10.1 
காற்றுஞ்சிலரை - 11.3 
கான்முளையாகிய - 9.6 
கிருப்பதுமுப்பதே - 3.1 
கீணான்குசாதி - 11.7 
குடியுமொன்றே - 11.10 
குணவுகாட்டிலுமோ - 11.7 
குணவுநாட்டிலுங் - 11.6 
குலமுமொன்றே - 11.10 
குறவர்கோமான் - 10.5 
கூத்திவயிற்றிற் - 8.9 
கூற்றுவன்வருவான் - 4.2 
கூற்றுவன்றன்னைப் - 4.3 
கூறுங்கால் - 1.2 
கூறைகளைந்து - 5.6 
கையுமார்த்து - 5.5 
கையேந்திநிற்பது - 6.4 
கொய்தினைப்புனஞ்சூழ் - 10.5 
கோண்முதிதோ - 1.4 
