முக்கூடற் பள்ளு சொல்லடைவு

அழகர் -- 1.2 
இசைக்கே -- 1.2 
உண்டு -- 1.1 
எட்டெழுத்து -- 1.3 
என்று -- 1.3 
என -- 1.1 
காப்பாமே -- 1.4 
சொல் -- 1.3 
நா -- 1.4 
நாவலரும் -- 1.4 
நிறமும் -- 1.1 
நீல -- 1.1 
பத்தர் -- 1.4 
பத்து -- 1.4 
பள் -- 1.2 
பா -- 1.3 
பாவலர் -- 1.3 
புரப்பார் -- 1.3 
பூ -- 1.1,2 
பொன் -- 1.1 
மா -- 1.2 
மால் -- 1.2 
முக்கூடல் -- 1.2 
மேவு -- 1.3,4 
மேவும் -- 1.1,2 
வெற்பில் -- 1.1 

பாடல் 
அ -- 26.3, 48.3,6, 102.4 
அக்கரை -- 86.5 
அக்கிரம -- 62.4 
அகப்பட்டாய் -- 98.3 
அகரை -- 36.1 
அங்கம் -- 49.3 
அங்கலாய்க்கும் -- 130.3 
அங்காளி -- 126.6 
அங்கு -- 26.3 
அங்கும் -- 130.7 
அங்குமிங்கும் -- 69.4 
அங்கே -- 93.3, 156.1 
அங்கேயிருந்து -- 96.3 
அங்ங்கே -- 87.6 
அசுவையும் -- 86.6 
அசைக்கும் -- 136.2 
அசைத்தார் -- 16.2 
அசைது -- 119.3 
அசைந்திடும் -- 26.3 
அசைய -- 8.5 
அசையவே -- 130.6 
அசையாமல் -- 61.2 
அசையை -- 2.5 
அஞ்ச -- 158.1,2 
அஞ்சனம் -- 8.3 
அஞ்சாறு -- 53.5 
அஞ்சி -- 157.4 
அஞ்சு -- 86.5 
அஞ்சுக்கும் -- 14.3 
அஞ்சுவான் -- 158.4 
அஞ்சுவேனோ -- 158.3 
அடங்க -- 115.5 
அடங்கும்படிக்கு -- 129.3 
அடல் -- 38.2 
அடி -- 3.7, 128.8 
அடிக்குதே -- 35.3 
அடிக்குள் -- 129.3 
அடித்த -- 111.6 
அடித்திடும் -- 90.8 
அடிதட்டி -- 132.7 
அடிப்பன் -- 61.4 
அடிப்பான் -- 89.4 
அடிமை -- 171.3 
அடிமைக்கு -- 59.4 
அடிமைப்படுமோ -- 9.2 
அடியடி -- 13.4 
அடியர் -- 1.3 
அடியனும் -- 167.1 
அடியாள் -- 85.6, 103.2 
அடியாளுக்கு -- 60.2 
அடியானுக்கு -- 96.4, 171.1 
அடியில் -- 151.3 
அடியேன் -- 15.4 
அடிவைப்பதும் -- 10.6 
அடுக்கி -- 125.4 
அடுக்கியும் -- 46.6 
அடுக்கிறான் -- 133.8 
அடுக்கும் -- 74.4 
அடுக்கையின் -- 44.1 
அடுத்த -- 125.3 
அடுத்திடும் -- 85.1 
அடுத்து -- 118.5 
அடும் -- 43.1 
அடைக்கும் -- 24.1 
அடைத்தான் -- 72.1 
அடைத்திட்டான் -- 122.1 
அடையாளம் -- 71.3 
அடைவுபட்ட -- 84.3 
அண்டர் -- 45.3 
அண்டர்நாயகர் -- 19.4 
அண்டருக்கு -- 129.2 
அண்டையில் -- 19.1 
அணி -- 1.3, 3.6,7, 8.7 
அணிற்காலன் -- 109.6 
அணை -- 130.2 
அணைகல்லு -- 144.1 
அணைஞ்சி -- 126.2 
அணைத்து -- 45.3 
அணைப்பார் -- 138.5 
அணையிலே -- 51.5 
அத்தனை -- 13.3 
அத்தனையும் -- 66.3, 110.7 
அதட்டாதே -- 63.2 
அதட்டி -- 151.6 
அதட்டிட்டு -- 133.7 
அதற்கு -- 130.5 
அதற்கே -- 2.6 
அதன் -- 48.2 
அதிகமாய் -- 92.3 
அதிசயம்--தன்னை -- 71.1 
அதிரவே -- 130.5 
அதிரும் -- 42.5, 50.1 
அதில் -- 46.5 
அது -- 83.2, 115.7 
அதுக்கு -- 133.6 
அதுவாம் -- 88.6 
அந்த -- 25.3, 26.2, 27.4, 37.2,4, 75.1,4, 101.2, 110.6, 117.3, 121.2, 123.2, 125.3, 133.5 
அந்தக் -- 159.1 
அந்நிலத்தார் -- 52.1 
அப்படியே -- 76.2 
அப்பால் -- 26.3, 60.2 
அப்பாலும் -- 52.1 
அம் -- 21.3, 30.1, 46.8 
அம்பலவாணநயினார் -- 70.2 
அம்பலவாணன் -- 29.3 
அம்மச்சி -- 126.5 
அம்மி -- 21.3 
அமுத -- 39.3 
அமுதம் -- 129.2 
அமுது -- 135.1 
